INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
24-07-2013,23-07-2014,95,1202,192000,8128.23,5000032596,1986,44,Bus,3000,FIAT,Own service,
24-07-2012,23-07-2013,95,1202,192000,9333.13,5000032596,1986,44,Bus,3000,FIAT,Own service,
24-07-2011,23-07-2012,95,1202,240000,7780.608,5000032596,1986,44,Bus,3000,FIAT,Own service,
24-07-2011,23-07-2012,11,1202,0,1658.47,5000032597,1982,,Truck,11548,FIAT,General Cartage,
10-08-2012,09-08-2013,12,1202,198000,3903.17,5000032599,1983,140,Truck,11581,MERCEEDES,Own Goods,
24-07-2011,23-07-2012,99,1202,198000,4006.364,5000032599,1983,140,Truck,11581,MERCEEDES,Own Goods,
24-07-2013,23-07-2014,95,1202,490576.6,8711.46,5000032600,2007,61,Bus,3000,MERCEDES,Own service,8300
24-07-2012,23-07-2013,95,1202,490576.6,9101.53,5000032600,2007,61,Bus,3000,MERCEDES,Own service,
24-07-2011,23-07-2012,95,1202,613220,8820.836,5000032600,2007,61,Bus,3000,MERCEDES,Own service,
11-08-2013,10-08-2014,12,1202,0,4468.02,5000032602,1979,87,Truck,11548,FIAT,General Cartage,
10-08-2012,09-08-2013,12,1202,0,1985.65,5000032602,1979,87,Truck,11548,FIAT,General Cartage,
24-07-2011,23-07-2012,11,1202,0,3042.633,5000032602,1979,87,Truck,11548,FIAT,General Cartage,
10-08-2012,09-08-2013,12,1202,198000,3656.62,5000032604,1983,100,Truck,11580,MERCEEDES,Own Goods,
24-07-2011,23-07-2012,99,1202,198000,3419.494,5000032604,1983,100,Truck,11580,MERCEEDES,Own Goods,
10-08-2012,09-08-2013,12,1202,80000,1887.85,5000032607,1989,7,Pick-up,2389,NISSAN,Own Goods,
24-07-2011,23-07-2012,99,1202,80000,2678.015,5000032607,1989,7,Pick-up,2389,NISSAN,Own Goods,
11-08-2013,10-08-2014,12,1202,0,3593.52,5000032608,1982,134,Truck,11580,MERCEEDES,General Cartage,
10-08-2012,09-08-2013,12,1202,565000,9998.15,5000032608,1982,134,Truck,11580,MERCEEDES,General Cartage,18260
24-07-2011,23-07-2012,99,1202,565000,11521.864,5000032608,1982,134,Truck,11580,MERCEEDES,General Cartage,
18-03-2014,17-03-2015,14,1202,0,733,5000032609,2013,6,Pick-up,2494,TOYOTA,Own Goods,
08-07-2013,07-07-2014,84,1201,22174.29,587.14,5000032642,2005,,Motor-cycle,1300,SUZUKI,Private,
08-07-2012,07-07-2013,84,1201,22174.29,570.9,5000032642,2005,,Motor-cycle,1300,SUZUKI,Private,
08-07-2011,07-07-2012,84,1201,22174.29,338.4,5000032642,2005,,Motor-cycle,1300,SUZUKI,Private,
08-07-2013,07-07-2014,84,1201,215201.18,3326.51,5000032643,2003,,Automobile,1586,SUZUKI,Private,
08-07-2012,07-07-2013,84,1201,215201.18,3380.66,5000032643,2003,,Automobile,1586,SUZUKI,Private,
08-07-2011,07-07-2012,84,1201,215201.18,3315.722,5000032643,2003,,Automobile,1586,SUZUKI,Private,
08-07-2013,07-07-2014,94,1202,160397,4957.19,5000032647,2001,7,Pick-up,2499,FORD,Own Goods,
08-07-2012,07-07-2013,94,1202,160397.83,5029.61,5000032647,2001,7,Pick-up,2499,FORD,Own Goods,
08-07-2011,07-07-2012,94,1202,160397.83,5091.441,5000032647,2001,7,Pick-up,2499,FORD,Own Goods,
08-07-2011,07-07-2012,94,1202,151743.26,4361.901,5000032650,1984,7,Pick-up,3000,MITSUBISHI,Own Goods,
08-07-2013,07-07-2014,9,1202,1200000,33814.93,5000032691,2003,44,Bus,8071,MERCEEDES,Fare Paying Passengers,
08-07-2012,07-07-2013,9,1202,1200000,35710.59,5000032691,2003,44,Bus,8071,MERCEEDES,Fare Paying Passengers,
08-07-2011,07-07-2012,9,1202,1200000,43313,5000032691,2003,44,Bus,8071,MERCEEDES,Fare Paying Passengers,
15-06-2014,14-06-2015,7,1202,270000,4004.7,5000029757,2006,10,Pick-up,6164,TOYOTA,Own Goods,
15-06-2013,14-06-2014,7,1202,270000,3846.75,5000029757,2006,10,Pick-up,6164,TOYOTA,Own Goods,
15-06-2012,14-06-2013,7,1202,270000,3807.224,5000029757,2006,10,Pick-up,6164,TOYOTA,Own Goods,
08-07-2011,07-08-2011,75,1202,360000,197.07,5000029757,2006,10,Pick-up,6164,TOYOTA,Own Goods,
08-08-2013,07-08-2014,1,1202,533990.78,8825.98,5000029785,2009,0,Bus,4214,MITSUBISHI,Own service,
08-08-2012,07-08-2013,1,1202,533990.78,8825.98,5000029785,2009,0,Bus,4214,MITSUBISHI,Own service,
08-08-2011,07-08-2012,1,1202,533990.78,8399.348,5000029785,2009,0,Bus,4214,MITSUBISHI,Own service,
08-07-2011,07-08-2011,1,1202,533990.78,556.13,5000029785,2009,0,Bus,4214,MITSUBISHI,Own service,
02-07-2013,01-07-2014,0,1201,68000,1419.99,5000030524,1988,,Automobile,1295,TOYOTA,Private,
02-07-2012,01-07-2013,0,1201,68000,1241.34,5000030524,1988,,Automobile,1295,TOYOTA,Private,
02-07-2011,01-07-2012,0,1201,68000,1021.91,5000030524,1988,,Automobile,1295,TOYOTA,Private,
22-07-2011,21-07-2012,11,1201,0,395,5000030678,1973,,Automobile,1200,VOLKSWAGON,Own service,
08-08-2011,07-08-2012,10,1202,330000,12142.28,5000031264,2001,0,Bus,2986,ZZ,Fare Paying Passengers,
16-11-2012,15-11-2013,10,1202,2700000,70156.91,5000031348,2010,18000,Tanker,12880,IVECO,General Cartage,
16-11-2011,15-11-2012,10,1202,2363510,33345.17,5000031348,2010,18000,Tanker,12880,IVECO,General Cartage,
12-11-2013,11-11-2014,10,1202,2800000,35908.36,5000031364,2010,155.9,Truck,12880,IVECO,General Cartage,
12-11-2012,11-11-2013,10,1202,2100000,29511.57,5000031364,2010,155.9,Truck,12880,IVECO,General Cartage,
12-11-2011,11-11-2012,10,1202,2100000,30113.97,5000031364,2010,155.9,Truck,12880,IVECO,General Cartage,
08-07-2013,07-07-2014,12,1201,120000,3889.37,5000031381,1986,,Automobile,1300,TOYOTA,Private,
08-07-2012,07-07-2013,12,1201,120000,4073.5,5000031381,1986,,Automobile,1300,TOYOTA,Private,
08-07-2011,07-07-2012,18,1201,120000,4292.62,5000031381,1986,,Automobile,1300,TOYOTA,Private,
08-07-2013,07-07-2014,12,1201,268000,3775.27,5000031382,2005,,Automobile,1295,TOYOTA,Private,
08-07-2012,07-07-2013,12,1201,268000,3862.71,5000031382,2005,,Automobile,1295,TOYOTA,Private,
08-07-2011,07-07-2012,18,1201,268000,4192.054,5000031382,2005,,Automobile,1295,TOYOTA,Private,
08-07-2013,07-07-2014,3,1201,280000,4201.28,5000031397,1982,,Station Wagones,4164,TOYOTA,Private,
08-07-2012,07-07-2013,3,1201,280000,4614.41,5000031397,1982,,Station Wagones,4164,TOYOTA,Private,
08-07-2011,07-07-2012,3,1201,280000,4392.239,5000031397,1982,,Station Wagones,4164,TOYOTA,Private,
08-07-2013,07-07-2014,3,1201,279768.19,7344.68,5000031399,2006,34,Truck,4164,TOYOTA,Own Goods,
08-07-2012,07-07-2013,3,1201,279768.19,7927.27,5000031399,2006,34,Truck,4164,TOYOTA,Own Goods,
08-07-2011,07-07-2012,3,1201,279768.19,8176.069,5000031399,2006,34,Truck,4164,TOYOTA,Own Goods,
08-07-2013,07-07-2014,3,1201,510000,7784.66,5000031401,2003,,Station Wagones,4169,NISSAN,Private,
08-07-2012,07-07-2013,3,1201,510000,8090.5,5000031401,2003,,Station Wagones,4169,NISSAN,Private,
08-07-2011,07-07-2012,3,1201,510000,8230.306,5000031401,2003,,Station Wagones,4169,NISSAN,Private,
08-07-2013,07-07-2014,3,1201,249900,7744.96,5000031402,1999,10,Pick-up,4164,TOYOTA,Own Goods,
08-07-2012,07-07-2013,3,1201,249900,8268.71,5000031402,1999,10,Pick-up,4164,TOYOTA,Own Goods,
08-07-2011,07-07-2012,3,1201,249900,8463.679,5000031402,1999,10,Pick-up,4164,TOYOTA,Own Goods,
08-07-2013,07-07-2014,3,1201,279768.19,8509.85,5000031406,2006,34,Truck,4164,TOYOTA,Own Goods,
08-07-2012,07-07-2013,3,1201,279768.19,9092.44,5000031406,2006,34,Truck,4164,TOYOTA,Own Goods,
08-07-2011,07-07-2012,3,1201,279768.19,9346.239,5000031406,2006,34,Truck,4164,TOYOTA,Own Goods,
