INSR_BEGIN,INSR_END,EFFECTIVE_YR,INSR_TYPE,INSURED_VALUE,PREMIUM,OBJECT_ID,PROD_YEAR,CARRYING_CAPACITY,TYPE_VEHICLE,CCM_TON,MAKE,USAGE,CLAIM_PAID
22-08-2013,21-08-2014,13,1202,235000,4509.76,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
07-08-2013,06-08-2014,11,1202,0,6957.75,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
07-08-2012,06-08-2013,11,1202,500000,6957.75,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
08-07-2012,07-07-2013,11,1202,235000,721.75,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
07-08-2011,06-08-2012,11,1202,500000,6823.57,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
08-07-2011,06-08-2011,11,1202,500000,373.1,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
08-07-2011,07-07-2012,11,1202,235000,2910.57,5000032441,1998,7,Pick-up,2000,MITSUBISHI,Own Goods,
23-07-2013,22-07-2014,11,1202,235000,3379.46,5000032446,2002,6,Pick-up,1997,MITSUBISHI,Own Goods,
08-07-2012,07-07-2013,11,1202,235000,721.75,5000032446,2002,6,Pick-up,1997,MITSUBISHI,Own Goods,
08-07-2011,07-07-2012,11,1202,235000,2262.95,5000032446,2002,6,Pick-up,1997,MITSUBISHI,Own Goods,
01-01-2014,31-12-2014,28,1202,460000,5178.78,5000032462,2001,7,Pick-up,2779,TOYOTA,Own Goods,100320
01-01-2013,31-12-2013,28,1202,460000,5836.31,5000032462,2001,7,Pick-up,2779,TOYOTA,Own Goods,
