TYPE_VEHICLE,MAKE,PREMIUM
Pick-up,NISSAN,7209.14
Station Wagones,TOYOTA,3452.65
Truck,IVECO,44618.41
Bus,TOYOTA,2403.82
Automobile,TOYOTA,3747.89
Tanker,IVECO,29682.18
Trailers and semitrailers,MESFIN,5580.55
Motor-cycle,YAMAHA,829.947
Tractor,TOMSON,113.4
Special construction,CRANE,622.25
Trade plates,ZZ,2243
